Time;Type;Tool;Accuracy w/o error;Accuracy w/ error;Precision;Recall;Specificity;Error rate;TP;FP;TN;FN;Error;Total
2024-03-13 21:34:13.734000;CreateBasedReentrancy;-;0.5966666666666667;0.50997150997151;0.3333333333333333;0.23469387755102042;0.6753246753246753;0.1452991452991453;23;46;156;75;51;351
2024-03-13 21:34:13.734000;CreateBasedReentrancy;ethor-2023;0.288135593220339;0.26153846153846155;0.288135593220339;1.0;nan;0.09230769230769231;17;42;0;0;6;65
2024-03-13 21:34:13.734000;CreateBasedReentrancy;mythril-0.23.15;0.6721311475409836;0.6307692307692307;nan;0.0;0.6721311475409836;0.06153846153846154;0;0;82;40;8;130
2024-03-13 21:34:13.734000;CreateBasedReentrancy;oyente;0.6547619047619048;0.4700854700854701;nan;0.0;0.6547619047619048;0.28205128205128205;0;0;55;29;33;117
2024-03-13 21:34:13.734000;CreateBasedReentrancy;sailfish;0.7142857142857143;0.6410256410256411;0.6;0.5;0.76;0.10256410256410256;6;4;19;6;4;39
2024-03-13 21:34:13.734000;CrossFunctionReentrancy;-;0.6970588235294117;0.6752136752136753;0.4935064935064935;0.37254901960784315;0.7566539923954373;0.03133903133903134;38;39;199;64;11;351
2024-03-13 21:34:13.734000;CrossFunctionReentrancy;ethor-2023;0.3709677419354839;0.35384615384615387;0.3157894736842105;1.0;1.0;0.046153846153846156;18;39;5;0;3;65
2024-03-13 21:34:13.734000;CrossFunctionReentrancy;mythril-0.23.15;0.6923076923076923;0.6923076923076923;nan;0.0;0.6923076923076923;0.0;0;0;90;40;0;130
2024-03-13 21:34:13.734000;CrossFunctionReentrancy;oyente;0.8290598290598291;0.8290598290598291;1.0;0.4444444444444444;0.801980198019802;0.0;16;0;81;20;0;117
2024-03-13 21:34:13.734000;CrossFunctionReentrancy;sailfish;0.8709677419354839;0.6923076923076923;1.0;0.5;0.8518518518518519;0.20512820512820512;4;0;23;4;8;39
2024-03-13 21:34:13.734000;DelegatedReentrancy;-;0.6524822695035462;0.5242165242165242;0.44339622641509435;0.5465116279069767;0.7784090909090909;0.19658119658119658;47;59;137;39;69;351
2024-03-13 21:34:13.734000;DelegatedReentrancy;ethor-2023;nan;0.0;nan;nan;nan;1.0;0;0;0;0;65;65
2024-03-13 21:34:13.734000;DelegatedReentrancy;mythril-0.23.15;0.6461538461538462;0.6461538461538462;0.45454545454545453;0.75;0.84375;0.0;30;36;54;10;0;130
2024-03-13 21:34:13.734000;DelegatedReentrancy;oyente;0.6752136752136753;0.6752136752136753;0.46875;0.4166666666666667;0.7529411764705882;0.0;15;17;64;21;0;117
2024-03-13 21:34:13.734000;DelegatedReentrancy;sailfish;0.6;0.5384615384615384;0.25;0.2;0.7037037037037037;0.10256410256410256;2;6;19;8;4;39
2024-03-13 21:34:13.734000;SameFunctionReentrancy;-;0.7810650887573964;0.7521367521367521;0.6050420168067226;0.7272727272727273;0.8767123287671232;0.037037037037037035;72;47;192;27;13;351
2024-03-13 21:34:13.734000;SameFunctionReentrancy;ethor-2023;0.6666666666666666;0.6153846153846154;0.42857142857142855;1.0;1.0;0.07692307692307693;15;20;25;0;5;65
2024-03-13 21:34:13.734000;SameFunctionReentrancy;mythril-0.23.15;0.7615384615384615;0.7615384615384615;0.5714285714285714;0.9;0.9402985074626866;0.0;36;27;63;4;0;130
2024-03-13 21:34:13.734000;SameFunctionReentrancy;oyente;0.8461538461538461;0.8461538461538461;1.0;0.5;0.8181818181818182;0.0;18;0;81;18;0;117
2024-03-13 21:34:13.734000;SameFunctionReentrancy;sailfish;0.8387096774193549;0.6666666666666666;1.0;0.375;0.8214285714285714;0.20512820512820512;3;0;23;5;8;39
